0;4;27;34;31
0;9;19;30;25
0;11;9;12;11
0;12;38;51;45
1;5;22;27;25
1;8;7;10;9
2;3;41;51;46
2;5;43;53;48
3;2;41;51;46
3;5;61;94;78
3;19;69;99;84
4;0;27;34;31
4;19;81;92;87
5;1;22;27;25
5;2;43;53;48
5;3;61;94;78
6;10;27;43;35
6;12;26;30;28
6;16;43;58;51
6;18;31;60;46
7;8;25;44;35
7;10;45;68;57
7;14;24;47;36
7;16;105;118;112
8;1;7;10;9
8;7;25;44;35
8;14;14;18;16
8;19;57;66;61
9;0;19;30;25
9;11;23;30;27
9;12;34;40;37
9;16;33;39;36
10;6;27;43;35
10;7;45;68;57
10;13;31;47;36
10;14;37;53;45
10;15;17;24;21
10;17;15;32;24
10;18;25;33;29
11;0;12;9;11
11;9;23;30;27
12;0;38;51;45
12;6;26;30;28
12;9;34;40;37
12;16;24;31;28
13;10;31;47;36
13;15;37;53;45
13;18;17;21;19
13;19;39;49;44
14;7;24;47;36
14;8;14;18;16
14;10;37;53;45
14;15;21;36;29
15;10;17;24;21
15;13;37;53;45
15;14;21;36;29
15;19;60;70;65
16;6;43;58;51
16;7;105;118;112
16;9;33;39;36
16;12;24;31;28
17;10;15;32;24
18;6;31;60;46
18;10;25;33;29
18;13;17;21;19
18;19;46;56;51
19;3;69;99;84
19;4;81;92;87
19;8;57;66;61
19;13;39;49;44
19;15;60;70;65
19;18;46;56;51
